 iter    JT            dJT           ga_int        dt
  333    0.01564251    0.00008331    0.00242754    1.53
  334    0.01555973    0.00008278    0.00242010    1.55
  335    0.01547748    0.00008225    0.00241271    1.54
  336    0.01539575    0.00008173    0.00240535    1.54
  337    0.01531454    0.00008121    0.00239804    1.57
  338    0.01523385    0.00008070    0.00239076    1.54
  339    0.01515366    0.00008019    0.00238352    1.60
  340    0.01507397    0.00007968    0.00237632    1.57
  341    0.01499479    0.00007918    0.00236915    1.55
  342    0.01491610    0.00007869    0.00236202    1.54
  343    0.01483790    0.00007820    0.00235492    1.58
  344    0.01476019    0.00007771    0.00234785    1.52
  345    0.01468297    0.00007723    0.00234083    1.52
  346    0.01460622    0.00007675    0.00233383    1.51
  347    0.01452995    0.00007627    0.00232687    1.55
  348    0.01445415    0.00007580    0.00231995    1.54
  349    0.01437881    0.00007533    0.00231306    1.59
  350    0.01430394    0.00007487    0.00230621    1.47
  351    0.01422954    0.00007441    0.00229939    1.50
  352    0.01415558    0.00007395    0.00229261    1.53
  353    0.01408208    0.00007350    0.00228586    1.52
  354    0.01400903    0.00007305    0.00227914    1.55
  355    0.01393643    0.00007261    0.00227245    1.55
  356    0.01386426    0.00007216    0.00226579    1.52
  357    0.01379254    0.00007173    0.00225917    1.59
  358    0.01372125    0.00007129    0.00225257    1.56
  359    0.01365039    0.00007086    0.00224602    1.53
  360    0.01357996    0.00007043    0.00223949    1.58
  361    0.01350995    0.00007001    0.00223299    1.50
  362    0.01344037    0.00006958    0.00222652    1.51
  363    0.01337120    0.00006917    0.00222008    1.54
  364    0.01330245    0.00006875    0.00221367    1.52
  365    0.01323411    0.00006834    0.00220729    1.52
  366    0.01316618    0.00006793    0.00220094    1.51
  367    0.01309866    0.00006752    0.00219462    1.52
  368    0.01303154    0.00006712    0.00218833    1.51
  369    0.01296482    0.00006672    0.00218206    1.50
  370    0.01289849    0.00006633    0.00217582    1.49
  371    0.01283256    0.00006593    0.00216962    1.51
  372    0.01276701    0.00006554    0.00216344    1.51
  373    0.01270186    0.00006515    0.00215730    1.54
  374    0.01263709    0.00006477    0.00215117    1.50
  375    0.01257270    0.00006439    0.00214508    1.50
  376    0.01250869    0.00006401    0.00213901    1.55
  377    0.01244506    0.00006363    0.00213296    1.54
  378    0.01238180    0.00006326    0.00212694    1.50
  379    0.01231891    0.00006289    0.00212095    1.64
  380    0.01225639    0.00006252    0.00211497    1.52
  381    0.01219424    0.00006215    0.00210903    1.54
  382    0.01213245    0.00006179    0.00210311    1.58
  383    0.01207102    0.00006143    0.00209722    1.64
  384    0.01200994    0.00006107    0.00209135    1.56
  385    0.01194922    0.00006072    0.00208550    1.54
  386    0.01188886    0.00006037    0.00207968    1.63
  387    0.01182884    0.00006002    0.00207388    1.49
  388    0.01176917    0.00005967    0.00206810    1.49
  389    0.01170985    0.00005932    0.00206234    1.47
  390    0.01165086    0.00005898    0.00205660    1.56
  391    0.01159222    0.00005864    0.00205089    1.58
  392    0.01153392    0.00005830    0.00204519    1.60
  393    0.01147595    0.00005797    0.00203953    1.58
  394    0.01141831    0.00005764    0.00203388    1.52
  395    0.01136101    0.00005731    0.00202826    1.50
  396    0.01130403    0.00005698    0.00202267    1.63
  397    0.01124738    0.00005665    0.00201710    1.64
  398    0.01119105    0.00005633    0.00201155    1.57
  399    0.01113505    0.00005601    0.00200603    1.60
  400    0.01107936    0.00005569    0.00200052    1.57
  401    0.01102399    0.00005537    0.00199503    1.55
  402    0.01096894    0.00005505    0.00198956    1.63
  403    0.01091420    0.00005474    0.00198411    1.56
  404    0.01085977    0.00005443    0.00197868    1.54
  405    0.01080564    0.00005412    0.00197327    1.55
  406    0.01075183    0.00005382    0.00196788    1.57
  407    0.01069832    0.00005351    0.00196251    1.55
  408    0.01064511    0.00005321    0.00195716    1.54
  409    0.01059220    0.00005291    0.00195183    1.54
  410    0.01053959    0.00005261    0.00194651    1.61
  411    0.01048727    0.00005231    0.00194122    1.50
  412    0.01043525    0.00005202    0.00193594    1.59
  413    0.01038353    0.00005173    0.00193068    1.56
  414    0.01033209    0.00005144    0.00192544    1.54
  415    0.01028094    0.00005115    0.00192022    1.53
  416    0.01023008    0.00005086    0.00191501    1.58
  417    0.01017950    0.00005058    0.00190983    1.62
  418    0.01012920    0.00005030    0.00190467    1.54
  419    0.01007919    0.00005001    0.00189953    1.52
  420    0.01002945    0.00004974    0.00189441    1.54
  421    0.00997999    0.00004946    0.00188930    1.55
stop condition met (JT_iter[-1] < 0.01: True, ¦¤JT < 1e-07: False), break
